,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,onmousedown,snippet,source,sponsored,state,stations,url
129,Seattle,Amazon Corporate LLC,US,"Fri, 17 Feb 2017 17:34:04 GMT",False,"Seattle, WA","Seattle, WA",22 days ago,False,2c32303eda6beb48,Software Developer - Network Optimization and Planning,"indeed_clk(this,'3513');","Experience with <b>Java</b> or C++ and knowledge of a scripting language (Perl, Ruby, <b>Python</b>). Have you ever ordered a product on Amazon and when that box with the...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=2c32303eda6beb48&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
130,Seattle,Amazon Corporate LLC,US,"Fri, 17 Feb 2017 17:34:00 GMT",False,"Seattle, WA","Seattle, WA",22 days ago,False,e1aa344b0fc14b7c,Backend Software Developer - Distributed Systems,"indeed_clk(this,'3513');","Software development skills, preferably in <b>Java</b>, C/C++, <b>Python</b>, Ruby and/or Perl in Linux environment. They build large-scale distributed software systems in...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=e1aa344b0fc14b7c&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
131,Seattle,Amazon Corporate LLC,US,"Thu, 02 Mar 2017 00:16:23 GMT",False,"Seattle, WA","Seattle, WA",10 days ago,False,37a9cb30033d40c5,Natural Language Processing Scientist,"indeed_clk(this,'3513');","Strong programming skills in at least one object oriented programming language (<b>Java</b>, Scala, C++, <b>Python</b>, etc.)....",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=37a9cb30033d40c5&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
132,Seattle,Amazon Corporate LLC,US,"Fri, 10 Feb 2017 23:10:53 GMT",False,"Seattle, WA","Seattle, WA",29 days ago,False,2cfdbb4b01209211,Programmer Analyst,"indeed_clk(this,'3513');","Experience in at least one modern object-oriented programming language (Ruby, <b>Python</b>, <b>Java</b>). ACES is seeking a highly talented and motivated Programmer/Analyst...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=2cfdbb4b01209211&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
133,Seattle,Amazon Corporate LLC,US,"Wed, 08 Mar 2017 06:44:26 GMT",False,"Seattle, WA","Seattle, WA",3 days ago,False,e849d790d4873aa3,Software Development Engineer – Developer Experience,"indeed_clk(this,'3513');","Proficiency in, at least, one modern dynamic programming language such as Ruby, <b>Python</b>, Javascript. Proficiency in, at least, one modern programming language...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=e849d790d4873aa3&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
134,Seattle,"Amazon Web Services, Inc.",US,"Thu, 19 Jan 2017 18:10:20 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,5eb39e6c16f5a650,Fullstack developer - AWS Solutions Architecture,"indeed_clk(this,'3513');","Build on AWS for AWS! We are a development team tasked with creating a new set of services and applications to scale up AWS solution architects, other...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=5eb39e6c16f5a650&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
135,Seattle,"Amazon Web Services, Inc.",US,"Wed, 01 Feb 2017 21:55:52 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,f4f6c125abf518fa,Machine Learning Software Dev Engineer,"indeed_clk(this,'3513');","Strong object-oriented design and coding skills (<b>Java</b>, <b>Python</b>, and/or C++) preferably on a Unix or Linux platform....",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=f4f6c125abf518fa&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
136,Seattle,Amazon Corporate LLC,US,"Thu, 19 Jan 2017 17:39:08 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,a7f6e889fb0d5eef,Cloud Systems Developer Engineer,"indeed_clk(this,'3513');","Join AWS to help mobile developers build great cloud-backed apps! As a member of the AWS Mobile team, you will develop services that cater to the needs of",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=a7f6e889fb0d5eef&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
137,Bellevue,Intellipro Group Inc.,US,"Fri, 27 Jan 2017 02:01:14 GMT",False,"Bellevue, WA","Bellevue, WA",30+ days ago,True,41ecf66e147283c8,"Sr. Engineer, Cloud Software Developer","indeed_clk(this,'3513');","Go, <b>Java</b>, C/C++, Ruby, <b>Python</b> and Node.js. About the position*....",Indeed,False,WA,,http://www.indeed.com/viewjob?jk=41ecf66e147283c8&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
138,Redmond,General Electric,US,"Wed, 22 Feb 2017 02:59:39 GMT",False,"Redmond, WA","Redmond, WA 98053",17 days ago,False,d4ae8cd7ecb4ead8,Lead Solution Integration Engineer,"indeed_clk(this,'3513');","C++ or C# or <b>Java</b> and <b>Python</b> or Perl. GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are...",GE Careers,False,WA,,http://www.indeed.com/viewjob?jk=d4ae8cd7ecb4ead8&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
139,Seattle,Crackajack Solutions,US,"Thu, 16 Feb 2017 21:07:20 GMT",False,"Seattle, WA","Seattle, WA",23 days ago,True,339fa77d6b98c881,Software Engineer,"indeed_clk(this,'3513');","Proficiency in at least one programming language (GoLang, C/C++, <b>Java</b>, <b>Python</b>, etc.). 3+ years of experience delivering complex software solutions....",Indeed,False,WA,,http://www.indeed.com/viewjob?jk=339fa77d6b98c881&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
140,Seattle,Amazon Corporate LLC,US,"Tue, 31 Jan 2017 18:29:16 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,871df62032c6c9e2,"Software Development Engineer, AWS Machine Learning Platforms","indeed_clk(this,'3513');","Proficiency in, at least, one modern programming language such as <b>Java</b>, <b>Python</b>, C++, C#, Perl. In this role you will design, implement, test, document, and...",Lab126,False,WA,,http://www.indeed.com/viewjob?jk=871df62032c6c9e2&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
141,Seattle,Eikon Consulting Group,US,"Wed, 15 Feb 2017 22:06:09 GMT",False,"Seattle, WA","Seattle, WA",24 days ago,True,e6508660691fa620,Software Development Engineer,"indeed_clk(this,'3513');","<b>Java</b> and/or C++ development:. Core competencies in <b>Java</b> and/or C++. Scripting languages such as Ruby, Perl or <b>Python</b>:....",Indeed,False,WA,,http://www.indeed.com/viewjob?jk=e6508660691fa620&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
142,Seattle,"Amazon Web Services, Inc.",US,"Sat, 04 Mar 2017 06:24:20 GMT",False,"Seattle, WA","Seattle, WA",7 days ago,False,e29d2f6ae16c7dd7,Associate Solutions Architect,"indeed_clk(this,'3513');","Knowledge of programming or other scripting languages and coding skills (C/C++/C#, Node.JS, <b>Java</b>, <b>Python</b>, PHP, Ruby) desired....",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=e29d2f6ae16c7dd7&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
143,Seattle,Google,US,"Wed, 08 Feb 2017 15:14:33 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,bfed6119f4fa892f,"Strategic Customer Engineer, Google Cloud","indeed_clk(this,'3513');","Experience in writing software in one or more languages such as <b>Java</b>, Go, <b>Python</b>, PHP or similar. The Google Cloud Platform team helps customers transform and...",Google,False,WA,,http://www.indeed.com/viewjob?jk=bfed6119f4fa892f&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
